Name,Default_Val,Type,Range,OS_64,OS_32
ResizePLAB,TRUE,bool,,,
ResizeOldPLAB,TRUE,bool,,,
AlwaysPreTouch,FALSE,bool,,,
ParallelRefProcEnabled,FALSE,bool,,,
ParallelRefProcBalancingEnabled,TRUE,bool,,,
UseTLAB,TRUE,bool,,,
FastTLABRefill,TRUE,bool,,,
UseAutoGCSelectPolicy,FALSE,bool,,,
UseAdaptiveSizePolicy,TRUE,bool,,,
UsePSAdaptiveSurvivorSizePolicy,TRUE,bool,,,
UseAdaptiveGenerationSizePolicyAtMinorCollection,TRUE,bool,,,
UseAdaptiveGenerationSizePolicyAtMajorCollection,TRUE,bool,,,
UseAdaptiveSizePolicyWithSystemGC,FALSE,bool,,,
UseAdaptiveGCBoundary,FALSE,bool,,,
UseAdaptiveSizePolicyFootprintGoal,TRUE,bool,,,
YoungPLABSize,4096,choice,256_512_1024_2048_4096,,
OldPLABSize,1024,choice,16_32_64_128_256_512_1024,,
GCTaskTimeStampEntries,200,positive int,100/300,,
TargetPLABWastePct,10,int,5/15,,
PLABWeight,75,positive int,20/90,,
OldPLABWeight,50,positive int,20/90,,
MarkStackSize,32000_32-bits/4000000_64-bits,positive int,,4000000/7000000,30000/60000
MarkStackSizeMax,4000000_32-bits/512000000_64-bits,positive int,,450000000/600000000,5000000/7000000
RefDiscoveryPolicy,0,choice,0_1,,
InitiatingHeapOccupancyPercent,45,positive int,20/90,,
ErgoHeapSizeLimit,0,positive int,0/6,,
MaxRAMFraction,4,positive int,1/4,,
MinRAMFraction,2,positive int,2/6,,
InitialRAMFraction,64,positive int,50/80,,
AutoGCSelectPauseMillis,5000,positive int,2000/6000,,
AdaptiveSizeThroughPutPolicy,0,choice,0_1,,
AdaptiveSizePausePolicy,0,choice,0_1,,
AdaptiveSizePolicyInitializingSteps,20,positive int,10/30,,
AdaptiveSizePolicyOutputInterval,0,positive int,0/5000,,
AdaptiveSizePolicyWeight,10,positive int,0/100,,
AdaptiveTimeWeight,25,positive int,0/100,,
PausePadding,1,positive int,1/42020,,
PromotedPadding,3,positive int,1/5,,
SurvivorPadding,3,positive int,1/4,,
ThresholdTolerance,10,positive int,6/15,,
AdaptiveSizePolicyCollectionCostMargin,50,positive int,20/90,,
YoungGenerationSizeIncrement,20,positive int,10/50,,
YoungGenerationSizeSupplement,80,positive int,50/90,,
YoungGenerationSizeSupplementDecay,8,positive int,5/10,,
TenuredGenerationSizeIncrement,20,positive int,10/50,,
TenuredGenerationSizeSupplement,80,positive int,50/90,,
TenuredGenerationSizeSupplementDecay,2,positive int,1/5,,
GCTimeRatio,99,positive int,60/99,,
AdaptiveSizeDecrementScaleFactor,4,positive int,2/5,,
AdaptiveSizeMajorGCDecayTimeScale,10,positive int,8/13,,
MinSurvivorRatio,3,positive int,1/3,,
InitialSurvivorRatio,8,positive int,4/10,,
BaseFootPrintEstimate,256000000,positive int,200000000/300000000,,
GCHeapFreeLimit,2,positive int,1/4,,
ProcessDistributionStride,4,positive int,1/4,,
MaxGCPauseMillis,,positive int,50/250,,
